128.164.174.0/25,    DIT - Ivory Towers Wireless
128.164.174.128/25,  DIT - FBDC Server Admin interfaces
128.164.175.0/24,    Medical Center
128.164.176.0/24,    Pepperdine - 2011 Eye St (4th, 7th, 8th)
128.164.177.0/24,    DIT - 2011 Eye St (2nd, 3rd)
128.164.178.0/25,    DIT - 2135 F St. Wireless
128.164.178.128/26,  Medical Center
128.164.179.0/28,    DIT - 2020 K Street (Wireless & Paetec)
128.164.179.64/26,   DIT - HOVA Wireless
128.164.180.0/24,    Comptroller
128.164.181.0/24,    MVC Faculty
128.164.182.0/24,    GSEHD
128.164.183.0/24,    MVC Classrooms
128.164.184.0/23,    Medical Center
128.164.186.0/24,    DIT - MVC Access Points
128.164.187.0/25,    DIT - Head-End Control
128.164.187.128/25,  DIT - Head-End IPTV Source
128.164.196.0/22,    SNS
128.164.200.0/24,    ResNet Servers
128.164.201.0/24,    SEAS
128.164.202.0/28,    DIT - Aston MGT (COLT + EDFA)
128.164.202.16/28,   DIT - Production SSL VPN Admin network
128.164.202.32/28,   DIT - Test SSL VPN pools
128.164.202.48/28,   DIT - Test SSL VPN pools
128.164.202.64/26,   DIT - New Hall Wireless
128.164.202.128/29,  DIT - Hospital PAETEC
128.164.202.136/29,  DIT - Lafayette PAETEC
128.164.202.144/29,  DIT - Aston PAETEC
128.164.202.152/29,  DIT - City Hall PAETEC
128.164.202.160/28,  DIT - 2011 I St. PAETEC
128.164.202.176/29,  DIT - Cisco ASA Management Network
128.164.202.192/27,  Watergate Office
128.164.203.4/30,    DIT  - acad7609 to nva7609-1
128.164.203.8/30,    DIT - mx240-supp to nva7609-1
128.164.203.12/30,   DIT - CORE1 to nva7609-1
128.164.203.16/30,   DIT - CORE2 to nva7609-2
128.164.203.20/31,   DIT - CORE1 to the Aston
128.164.203.22/31,   DIT - CORE2 to the Aston
128.164.203.24/30,   DIT - 1776G CCA Trusted Network
128.164.203.28/31,   DIT - hibbert.DIT.gwu.edu to acad7609
128.164.203.30/31,   DIT - 1776G to patti7200 (Gigabeam)
128.164.203.32/30,   DIT - CORE1 to acad7609
128.164.203.36/31,   DIT - CORE1 to patti7200
128.164.203.38/31,   DIT - CORE2 to selma7200
128.164.203.40/30,   DIT - patti7200 to selma7200
128.164.203.44/31,   DIT - patti7200 to CAT3K-PATTI-1
128.164.203.46/31,   DIT - selma7200 to CAT3K-SELMA-1
128.164.203.48/31,   DIT - 1776G to selma7200 (T1 Multilink)
128.164.203.50/31,   DIT - 2021K to patti7200 (RCN)
128.164.203.52/31,   DIT - 2121K to selma7200 (RCN)
128.164.203.54/31,   DIT - 2121K to patti7200 (Pairgain)
128.164.203.56/31,   DIT - 2033K to selma7200 (RCN)
128.164.203.58/31,   DIT - 2033K to patti7200 (Pairgain)
128.164.203.60/30,   DIT - CORE1 to CORE2
128.164.203.64/31,   DIT - 2175K to patti7200 (RCN)
128.164.203.66/31,   DIT - 1VASquare to patti7200 (Verizon)
128.164.203.68/31,   DIT - 2100M to selma 7200 (RCN)
128.164.203.72/30,   DIT - CORE2 to mx240-supp
128.164.203.76/31,   DIT - 2100M to patti 7200 (Pairgain-1)
128.164.203.78/31,   DIT - Lafayette to Core 2 (Paetec)
128.164.203.80/30,   DIT - acad7609 to mx240-supp
128.164.203.84/31,   DIT - 2100M to patti 7200 (Pairgain-2)
