"Device Name","IP Addresses","Status","OS Info","Version","Agent Install Date","Last Contact Date","Queued Deployments"
"\\MC-CEHJGRR313DM","12.165.222.183","Offline","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","8/26/2010 6:38:56 PM (Local)","9/1/2010 9:51:00 AM (Local)","3"
"\\GWITADA-C3MHTH1","161.253.143.170","Offline","Microsoft Windows 7 Enterprise","6.4.2.504","8/25/2010 1:46:46 PM (Local)","8/26/2010 2:34:15 PM (Local)","0"
"\\PHYZXK-R455E","128.164.34.214","Offline","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/12/2010 2:22:48 PM (Local)","8/23/2010 5:35:15 PM (Local)","22"
"\\ESC-PAS-BLDK202","128.164.120.200","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/12/2010 4:35:37 PM (Local)","9/10/2010 8:39:46 AM (Local)","0"
"\\MC-MLBARIELH10W","128.164.86.11","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","8/18/2010 1:48:56 PM (Local)","9/10/2010 9:13:00 AM (Local)","0"
"\\FMMVCOP-35QGK11","127.0.0.1","Offline","Microsoft Windows XP Professional-Service Pack 2","6.4.2.420","4/13/2010 6:00:30 PM (Local)","9/1/2010 5:23:23 AM (Local)","0"
"\\CCAAMS-FB347G1","128.164.121.138","Offline","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","8/24/2010 9:07:02 AM (Local)","9/9/2010 2:09:49 PM (Local)","1"
"MCCG53","128.164.34.170","Idle","Apple Mac OS X 10.5.8","6.4283","8/25/2010 3:21:47 PM (Local)","9/10/2010 8:44:24 AM (Local)","0"
"\\RES-JDJ-R712","128.164.233.149","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/12/2010 2:23:30 PM (Local)","9/10/2010 8:31:44 AM (Local)","0"
"\\MCD-LSR-R321","128.164.32.255","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/13/2010 4:47:04 PM (Local)","9/10/2010 9:04:28 AM (Local)","0"
"DIVIT-60FN64B","169.254.71.53","Offline","Apple Mac OS X 10.6.4","6.4185","6/29/2010 8:30:50 AM (Local)","9/9/2010 8:14:29 PM (Local)","0"
"\\MC-MSDKFGR716W","128.164.33.84","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","7/12/2010 5:01:04 PM (Local)","9/10/2010 9:09:43 AM (Local)","0"
"\\SEASCF-40RJ1L1","128.164.157.203","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","7/2/2010 1:59:35 PM (Local)","9/10/2010 10:34:48 AM (Local)","0"
"\\FWI2010-2FSD2M1","128.164.149.110","Offline","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","7/26/2010 4:50:23 PM (Local)","9/8/2010 12:48:14 PM (Local)","0"
"\\EOH-RTP-R106B","128.164.32.199","Offline","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/13/2010 5:17:06 PM (Local)","8/31/2010 10:35:25 AM (Local)","2"
"\\CASWXG-R302","128.164.35.61","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/12/2010 3:53:48 PM (Local)","9/10/2010 9:32:16 AM (Local)","0"
"\\SASSHP-8CJ1RL1","128.164.232.91","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","5/19/2010 1:44:04 PM (Local)","9/10/2010 7:52:02 AM (Local)","0"
"\\B200146029","161.253.147.69","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","9/10/2010 4:06:27 AM (Local)","9/10/2010 10:17:11 AM (Local)","0"
"\\HIMMBAC056","128.164.29.212","Sleeping","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","9/9/2010 1:23:07 AM (Local)","9/9/2010 4:08:01 AM (Local)","23"
"\\SASSATH-54J3WK1","128.164.197.37","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","8/18/2010 4:15:30 PM (Local)","9/10/2010 10:32:51 AM (Local)","0"
"\\SASSSFA-6L87BG1","161.253.143.170","Working","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","9/10/2010 7:23:02 AM (Local)","9/10/2010 10:02:08 AM (Local)","0"
"\\VPHRHR-3FKBY41","161.253.142.159","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/12/2010 3:21:19 PM (Local)","9/10/2010 8:00:42 AM (Local)","0"
"\\VPHRHR-1WD6KM1","128.164.120.213","Offline","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","9/3/2010 4:52:34 PM (Local)","9/7/2010 4:15:00 PM (Local)","0"
"ISSHELPDESKSMACBOOK","161.253.143.172","Offline","Apple Mac OS X 10.5.8 on Intel","6.4283","8/13/2010 11:48:52 AM (Local)","8/27/2010 2:39:36 PM (Local)","0"
"\\EVPTM-DXDCQ91","128.164.233.179","Offline","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/12/2010 3:19:03 PM (Local)","9/8/2010 3:13:21 PM (Local)","0"
"\\DHP-STUDXK1800W","128.164.185.39","Working","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/20/2010 9:54:17 AM (Local)","9/10/2010 10:34:49 AM (Local)","0"
"\\MC-BCMLXDR531W","128.164.33.174","Offline","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","8/31/2010 9:11:48 AM (Local)","9/9/2010 2:54:36 PM (Local)","0"
"\\MO00354T01","128.164.60.253","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","9/10/2010 4:07:39 AM (Local)","9/10/2010 10:17:30 AM (Local)","0"
"\\MC-OBSST3H6218W","172.17.1.83","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","8/5/2010 7:53:36 PM (Local)","9/10/2010 7:50:30 AM (Local)","0"
"\\EOHEXG-2100M203","128.164.76.205","Offline","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/12/2010 5:03:36 PM (Local)","9/9/2010 4:11:50 PM (Local)","1"
"\\GSEHD-C9JZ54J1","128.164.182.89","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/14/2010 8:57:34 AM (Local)","9/10/2010 8:55:47 AM (Local)","0"
"\\THE-3B78F792D88","128.164.150.213","Offline","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/28/2010 2:24:30 PM (Local)","7/27/2010 11:10:48 AM (Local)","0"
"\\GWITADA-JJFW1M1","161.253.143.156","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/27/2010 9:45:30 AM (Local)","9/10/2010 9:39:05 AM (Local)","0"
"\\PUBLIC-009","128.164.86.219","Sleeping","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","8/18/2010 3:25:59 PM (Local)","8/15/2010 4:09:15 AM (Local)","2"
"\\DHP-SXJK1245AW","128.164.216.90","Offline","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/23/2010 9:46:41 AM (Local)","8/2/2010 6:07:39 PM (Local)","2"
"\\SFA-SXC-R711","128.164.35.7","Offline","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/13/2010 9:22:43 AM (Local)","8/30/2010 3:35:04 PM (Local)","0"
"\\MC-ANAAPGR226CW","128.164.32.118","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","6/25/2010 2:51:04 PM (Local)","9/10/2010 9:19:59 AM (Local)","1"
"\\IPHDDD-2175K200","128.164.175.93","Offline","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/12/2010 4:27:41 PM (Local)","9/9/2010 6:30:08 PM (Local)","1"
"\\GSEHD-BQ507G1","128.164.182.106","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/13/2010 5:46:42 PM (Local)","9/10/2010 8:53:52 AM (Local)","0"
"\\SPH-RDB-R222","128.164.34.102","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/13/2010 4:33:59 PM (Local)","9/10/2010 8:39:58 AM (Local)","2"
"\\GSEHD-6BYNXC1","128.164.182.191","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","7/9/2010 1:42:13 PM (Local)","9/10/2010 8:08:19 AM (Local)","0"
"\\CCAPPP-5ZS2Q41","128.164.250.248","Offline","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/12/2010 3:05:20 PM (Local)","8/24/2010 4:58:09 PM (Local)","0"
"\\AH00101002","128.164.183.61","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","9/10/2010 4:06:39 AM (Local)","9/10/2010 10:24:07 AM (Local)","0"
"\\MC-DHPCMRB224AW","128.164.216.164","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","8/2/2010 5:49:58 PM (Local)","9/10/2010 9:10:05 AM (Local)","0"
"\\GLSS-606N2","128.164.214.122","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","9/3/2010 12:55:43 PM (Local)","9/10/2010 10:01:37 AM (Local)","0"
"\\EVAORS-G0KHCK1","128.164.120.71","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","5/28/2010 9:26:56 AM (Local)","9/10/2010 7:59:34 AM (Local)","0"
"\\AVAFND-G5SLZ91","128.164.76.74","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/12/2010 4:55:57 PM (Local)","9/10/2010 8:51:04 AM (Local)","0"
"\\EVPFM-3VNRLB1","127.0.0.1","Idle","WinXP-Service Pack 2","6.2.3.181","4/14/2010 8:05:54 AM (Local)","9/10/2010 9:10:32 AM (Local)","0"
"\\CPSGCA-GENRS","10.10.0.103","Offline","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","8/27/2010 5:31:03 PM (Local)","8/27/2010 5:36:19 PM (Local)","0"
"\\GWAFND-85X7KM1","128.164.129.222","Offline","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","8/26/2010 10:29:28 AM (Local)","9/3/2010 9:00:14 AM (Local)","0"
"\\SASSATH-CN33HD1","128.164.197.190","Offline","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/12/2010 4:42:08 PM (Local)","9/7/2010 7:04:26 AM (Local)","0"
"\\ESIA402L3R8VM71","128.164.151.168","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/13/2010 6:52:51 PM (Local)","9/10/2010 10:28:01 AM (Local)","0"
"\\GLSM-GILLIS","128.164.181.185","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/14/2010 8:38:30 AM (Local)","9/10/2010 7:44:22 AM (Local)","0"
"\\GWSBGPB-77D7WC1","128.164.227.95","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","5/18/2010 11:16:43 AM (Local)","9/10/2010 9:03:28 AM (Local)","0"
"\\ESIA501L58VL831","128.164.150.200","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/13/2010 6:47:02 PM (Local)","9/10/2010 9:13:16 AM (Local)","0"
